time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, exhaust_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, exhaust_temp2, t_inj_1, t_inj_2, sweep,
49957.00,1500.00,1.14,0.66,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,
50084.00,1750.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,
50192.00,2000.00,1.14,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,
50301.00,2250.00,1.12,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,
50409.00,2500.00,1.12,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,
50509.00,2750.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,
50607.00,3000.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7013.67,7000.00,1.00,
50704.00,3250.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,6012.80,6000.00,1.00,
50802.00,3500.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5513.73,5500.00,1.00,
50900.00,3750.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5312.36,5300.00,1.00,
59016.00,1500.00,0.29,0.88,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,
59114.00,1750.00,0.79,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,
59212.00,2000.00,0.69,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,
59347.00,2250.00,0.02,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,
59444.00,2500.00,0.79,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,
59541.00,2750.00,0.70,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,
59639.00,3000.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6942.69,7000.00,2.00,
59736.00,3250.00,0.33,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5991.73,6000.00,2.00,
59834.00,3500.00,0.22,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5482.58,5500.00,2.00,
59932.00,3750.00,0.85,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5214.60,5300.00,2.00,
68627.00,1500.00,0.17,0.02,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,3.00,
68725.00,1750.00,0.17,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,3.00,
68823.00,2000.00,0.28,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,3.00,
68920.00,2250.00,0.57,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,3.00,
69065.00,2500.00,0.07,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,3.00,
69163.00,2750.00,0.43,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,3.00,
69260.00,3000.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6859.98,7000.00,3.00,
69358.00,3250.00,0.43,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5908.60,6000.00,3.00,
69456.00,3500.00,0.15,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5410.30,5500.00,3.00,
69554.00,3750.00,0.36,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5171.16,5300.00,3.00,
78654.00,1500.00,0.65,0.06,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,4.00,
78752.00,1750.00,0.20,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,4.00,
78851.00,2000.00,0.16,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,4.00,
78948.00,2250.00,0.27,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,4.00,
79046.00,2500.00,0.09,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,4.00,
79144.00,2750.00,0.23,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,4.00,
79266.00,3000.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6825.17,7000.00,4.00,
79363.00,3250.00,0.41,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5828.61,6000.00,4.00,
79460.00,3500.00,0.23,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5326.71,5500.00,4.00,
79557.00,3750.00,0.26,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5098.26,5300.00,4.00,
87245.00,1500.00,0.04,0.33,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,5.00,
87343.00,1750.00,0.15,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,5.00,
87440.00,2000.00,0.50,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,5.00,
87538.00,2250.00,0.16,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,5.00,
87636.00,2500.00,0.26,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,5.00,
87735.00,2750.00,0.27,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,5.00,
87832.00,3000.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6729.22,7000.00,5.00,
87949.00,3250.00,0.15,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5743.41,6000.00,5.00,
88048.00,3500.00,0.31,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5276.96,5500.00,5.00,
88146.00,3750.00,0.09,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5014.68,5300.00,5.00,
time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, exhaust_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, exhaust_temp2, t_inj_1, t_inj_2, sweep, datapoints1, datapoints2, 
9896.00,1500.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,68.00,0.00,
10007.00,1750.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,64.00,0.00,
10117.00,2000.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,53.00,0.00,
10227.00,2250.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,55.00,0.00,
10337.00,2500.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,7.00,0.00,
10448.00,2750.00,1.12,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,49.00,0.00,
10558.00,3000.00,1.14,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,6559.22,7000.00,1.00,22.00,0.00,
10668.00,3250.00,1.14,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5517.12,6000.00,1.00,6.00,0.00,
10796.00,3500.00,1.14,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5062.20,5500.00,1.00,43.00,0.00,
10908.00,3750.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,4860.48,5300.00,1.00,23.00,0.00,
17603.00,1500.00,0.49,0.32,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,118.00,0.00,
17714.00,1750.00,0.19,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,76.00,0.00,
17824.00,2000.00,0.55,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,102.00,0.00,
17934.00,2250.00,0.04,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,56.00,0.00,
18044.00,2500.00,1.06,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,97.00,0.00,
18154.00,2750.00,0.71,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,131.00,0.00,
18264.00,3000.00,0.96,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,6507.82,7000.00,2.00,135.00,0.00,
18375.00,3250.00,0.98,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5436.40,6000.00,2.00,37.00,0.00,
18485.00,3500.00,0.53,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5017.56,5500.00,2.00,78.00,0.00,
18626.00,3750.00,0.48,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,4764.51,5300.00,2.00,39.00,0.00,
25359.00,1500.00,0.33,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,3.00,166.00,0.00,
25468.00,1750.00,0.38,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,3.00,114.00,0.00,
25578.00,2000.00,0.17,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,3.00,120.00,0.00,
25689.00,2250.00,0.42,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,3.00,89.00,0.00,
25799.00,2500.00,0.38,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,3.00,145.00,0.00,
25909.00,2750.00,0.01,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,3.00,131.00,0.00,
26019.00,3000.00,0.47,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,6441.02,7000.00,3.00,230.00,0.00,
26130.00,3250.00,0.66,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5374.14,6000.00,3.00,87.00,0.00,
26240.00,3500.00,0.20,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,4934.97,5500.00,3.00,94.00,0.00,
26388.00,3750.00,0.71,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,4706.69,5300.00,3.00,102.00,0.00,
33290.00,1500.00,0.49,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,4.00,293.00,0.00,
33399.00,1750.00,0.39,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,4.00,173.00,0.00,
33508.00,2000.00,0.54,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,4.00,228.00,0.00,
33619.00,2250.00,0.59,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,4.00,186.00,0.00,
33730.00,2500.00,0.36,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,4.00,212.00,0.00,
33840.00,2750.00,0.01,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,4.00,132.00,0.00,
33951.00,3000.00,0.20,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,6390.18,7000.00,4.00,279.00,0.00,
34061.00,3250.00,0.31,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5313.08,6000.00,4.00,119.00,0.00,
34171.00,3500.00,0.22,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,4888.71,5500.00,4.00,117.00,0.00,
34403.00,3750.00,0.35,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,4665.73,5300.00,4.00,147.00,0.00,
41245.00,1500.00,0.18,0.04,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,5.00,348.00,0.00,
41460.00,1750.00,0.19,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,5.00,207.00,0.00,
41781.00,2000.00,0.06,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,5.00,240.00,0.00,
41997.00,2250.00,0.18,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,5.00,221.00,0.00,
42204.00,2500.00,0.19,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,5.00,254.00,0.00,
42314.00,2750.00,0.43,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,5.00,213.00,0.00,
