time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, exhaust_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, exhaust_temp2, t_inj_1, t_inj_2, sweep, datapoints1, datapoints2, 
48116.00,1500.00,1.15,0.26,0.00,0.00,0.00,nan,nan,nan,nan,nan,6293.74,7000.00,1.00,54.00,0.00,
48257.00,1750.00,1.16,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5222.39,6000.00,1.00,19.00,0.00,
48366.00,2000.00,1.15,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,4794.20,5500.00,1.00,30.00,0.00,
48475.00,2250.00,1.16,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,4565.91,5300.00,1.00,21.00,0.00,
48584.00,2500.00,1.15,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,4565.46,5300.00,1.00,17.00,0.00,
48694.00,2750.00,1.15,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,4444.80,5300.00,1.00,53.00,0.00,
48804.00,3000.00,1.15,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,4827.18,5300.00,1.00,113.00,0.00,
48914.00,3250.00,1.15,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,4625.00,5300.00,1.00,104.00,0.00,
49024.00,3500.00,1.16,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,4517.30,5300.00,1.00,49.00,0.00,
49134.00,3750.00,1.16,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,4637.99,5300.00,1.00,38.00,0.00,
56710.00,1500.00,1.15,0.48,0.00,0.00,0.00,nan,nan,nan,nan,nan,6308.72,7000.00,2.00,69.00,0.00,
56820.00,1750.00,1.16,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5238.22,6000.00,2.00,24.00,0.00,
56967.00,2000.00,1.15,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,4809.04,5500.00,2.00,42.00,0.00,
