time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, exhaust_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, exhaust_temp2, tinj_1, tinj_2, sweep, temp, datapoints1, datapoints2
812.00,1500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7000.00,7000.00,0.00,60.00,0.00,0.00,
943.00,1750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7000.00,7000.00,0.00,60.00,0.00,0.00,
1075.00,2000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6000.00,6000.00,0.00,60.00,0.00,0.00,
1207.00,2250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5500.00,5500.00,0.00,60.00,0.00,0.00,
1328.00,2500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5300.00,5300.00,0.00,60.00,0.00,0.00,
1449.00,2750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5300.00,5300.00,0.00,60.00,0.00,0.00,
1569.00,3000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5300.00,5300.00,0.00,60.00,0.00,0.00,
1690.00,3250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5300.00,5300.00,0.00,60.00,0.00,0.00,
1851.00,3500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5300.00,5300.00,0.00,60.00,0.00,0.00,
1970.00,3750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5300.00,5300.00,0.00,60.00,0.00,0.00,
36658.00,1500.00,0.92,47.61,31.07,59.70,-95.81,1.51,47.76,29.81,59.66,-199.92,7000.00,7000.00,2.00,60.00,1921.00,131.00,
36779.00,1750.00,0.84,47.62,31.20,59.73,-77.97,1.47,47.76,29.83,59.63,-199.92,6844.77,7000.00,2.00,60.00,2091.00,116.00,
36901.00,2000.00,0.97,47.65,30.32,59.64,-147.72,1.29,47.84,29.64,59.76,-199.93,6000.00,6289.92,2.00,60.00,556.00,2241.00,
37023.00,2250.00,1.07,47.66,30.22,59.58,-165.17,1.19,48.27,29.43,60.00,-199.93,5500.00,5687.45,2.00,60.00,452.00,2130.00,
37145.00,2500.00,1.16,47.67,30.27,59.58,-186.14,1.21,48.59,29.36,60.28,-199.93,5458.17,5512.75,2.00,60.00,452.00,1761.00,
37267.00,2750.00,1.23,47.62,30.27,59.68,-199.92,1.23,48.99,29.02,60.49,-199.92,5528.10,5525.30,2.00,60.00,411.00,1564.00,
37389.00,3000.00,1.29,47.68,30.22,59.58,-199.92,1.26,49.82,28.93,60.82,-199.92,5586.22,5555.89,2.00,60.00,374.00,1474.00,
37511.00,3250.00,1.32,47.72,30.11,59.61,-199.92,1.25,50.10,28.92,61.16,-199.92,5621.98,5547.20,2.00,60.00,278.00,1440.00,
37673.00,3500.00,1.30,47.72,30.00,59.62,-199.92,1.23,49.81,28.81,61.53,-199.92,5598.35,5533.72,2.00,60.00,263.00,1277.00,
37790.00,3750.00,1.31,47.76,29.95,59.61,-199.92,1.17,50.05,28.54,61.85,-199.92,5608.62,5467.32,2.00,60.00,184.00,1169.00,
247314.00,1500.00,1.01,47.94,28.79,60.98,-104.11,1.51,47.93,28.45,60.85,-199.92,7000.00,7000.00,2.00,60.00,1514.00,61.00,
247431.00,1750.00,1.16,47.97,28.72,60.95,-84.38,1.23,48.02,28.31,60.91,-199.92,7009.34,7000.00,2.00,60.00,2372.00,1298.00,
247548.00,2000.00,1.00,47.94,28.87,60.93,-157.44,1.06,48.15,28.18,61.08,-199.93,6000.00,6289.92,2.00,60.00,671.00,2470.00,
247666.00,2250.00,1.10,47.98,28.84,60.91,-178.81,1.14,48.53,28.67,61.33,-199.93,5604.80,5826.10,2.00,60.00,447.00,2141.00,
247783.00,2500.00,1.16,48.03,28.84,60.95,-197.08,1.16,48.86,28.28,61.69,-199.93,5615.86,5675.32,2.00,60.00,449.00,1712.00,
247899.00,2750.00,1.18,47.99,28.82,60.92,-199.92,1.18,49.17,28.12,62.10,-199.92,5708.80,5704.25,2.00,60.00,285.00,1522.00,
248015.00,3000.00,1.22,48.01,28.79,60.94,-199.92,1.21,49.38,27.97,62.48,-199.92,5807.98,5765.98,2.00,60.00,379.00,1437.00,
248168.00,3250.00,1.25,47.96,28.68,60.97,-199.92,1.21,49.62,27.99,62.84,-199.92,5868.96,5756.79,2.00,60.00,209.00,1336.00,
248283.00,3500.00,1.26,47.97,28.67,60.96,-199.92,1.20,49.66,27.82,63.24,-199.92,5855.94,5737.23,2.00,60.00,48.00,1374.00,
248399.00,3750.00,nan,nan,nan,nan,nan,1.13,49.71,27.80,63.62,-199.92,5608.62,5601.57,2.00,60.00,0.00,1198.00,
499870.00,1500.00,0.98,47.67,28.68,60.86,-99.53,1.51,47.89,27.43,60.84,-199.92,7000.00,7000.00,2.00,60.00,1989.00,131.00,
499985.00,1750.00,1.17,47.72,28.79,60.89,-77.84,1.43,47.93,27.46,60.91,-199.92,7180.61,7000.00,2.00,60.00,2024.00,236.00,
500102.00,2000.00,0.99,47.73,28.21,60.86,-150.28,1.20,48.04,27.75,60.97,-199.93,6000.00,6488.17,2.00,60.00,663.00,2473.00,
500217.00,2250.00,1.09,47.76,28.10,60.82,-169.48,1.12,48.44,27.82,61.20,-199.93,5604.80,5942.90,2.00,60.00,441.00,1982.00,
500335.00,2500.00,1.13,47.70,28.01,60.80,-191.25,1.13,48.87,27.68,61.47,-199.93,5748.01,5806.33,2.00,60.00,401.00,1758.00,
500452.00,2750.00,1.17,47.73,27.98,60.84,-199.75,1.15,49.41,27.67,61.83,-199.92,5879.83,5852.75,2.00,60.00,328.00,1484.00,
500569.00,3000.00,1.17,47.85,27.87,60.79,-199.92,1.17,49.81,27.97,62.15,-199.92,5978.26,5940.92,2.00,60.00,265.00,1397.00,
500740.00,3250.00,1.19,47.80,27.79,60.83,-199.92,1.18,50.04,28.40,62.47,-199.92,6055.03,5933.05,2.00,60.00,349.00,1442.00,
500855.00,3500.00,1.19,47.80,27.77,60.79,-199.92,1.18,50.56,27.90,62.80,-199.92,6042.34,5912.78,2.00,60.00,162.00,1304.00,
500971.00,3750.00,1.19,47.80,27.72,60.86,-199.92,1.12,51.69,27.63,63.15,-199.92,5794.96,5719.87,2.00,60.00,185.00,1103.00,
750907.00,1500.00,0.98,47.82,29.96,60.92,-97.56,1.51,47.89,29.11,60.96,-199.92,7000.00,7000.00,2.00,60.00,2055.00,144.00,
751023.00,1750.00,1.16,47.83,29.87,60.93,-77.66,1.24,47.96,29.10,60.94,-199.92,7345.08,7000.00,2.00,60.00,1833.00,356.00,
751138.00,2000.00,0.97,47.86,29.79,60.89,-149.13,1.11,48.22,28.76,60.94,-199.93,6000.00,6594.95,2.00,60.00,673.00,2763.00,
751254.00,2250.00,1.06,47.88,29.69,60.91,-169.15,1.08,48.77,28.42,61.16,-199.93,5604.80,5942.90,2.00,60.00,497.00,1928.00,
751370.00,2500.00,1.13,47.87,29.57,60.90,-190.15,1.10,49.10,28.19,61.47,-199.93,5875.17,5806.33,2.00,60.00,402.00,1763.00,
751486.00,2750.00,1.12,47.88,29.54,60.85,-199.92,1.12,49.44,28.14,61.83,-199.92,6001.45,5969.50,2.00,60.00,287.00,1525.00,
751649.00,3000.00,1.17,47.86,29.50,60.89,-199.92,1.14,49.91,28.44,62.21,-199.92,6146.90,6085.89,2.00,60.00,264.00,1471.00,
751764.00,3250.00,1.17,47.86,29.43,60.89,-199.92,1.15,50.18,28.94,62.55,-199.92,6220.88,6086.67,2.00,60.00,210.00,1302.00,
751879.00,3500.00,1.14,47.89,29.34,60.89,-199.92,1.15,51.40,29.31,62.97,-199.92,6183.96,6063.25,2.00,60.00,258.00,1341.00,
751995.00,3750.00,1.16,47.87,29.34,60.88,-199.92,1.11,51.74,29.40,63.41,-199.92,5958.24,5829.28,2.00,60.00,134.00,1194.00,
999003.00,1500.00,0.94,47.93,29.38,60.93,-99.93,1.51,48.01,30.34,60.91,-199.92,7000.00,7000.00,2.00,60.00,1781.00,132.00,
999119.00,1750.00,1.13,47.93,29.54,60.90,-79.31,1.37,48.03,30.36,60.94,-199.92,7471.81,7000.00,2.00,60.00,2219.00,375.00,
999234.00,2000.00,0.95,47.90,29.84,60.89,-147.91,1.12,48.19,30.57,61.07,-199.93,6000.00,6717.35,2.00,60.00,612.00,2455.00,
999351.00,2250.00,1.04,47.93,30.13,60.92,-167.79,1.09,48.77,30.94,61.27,-199.93,5604.80,5942.90,2.00,60.00,495.00,2042.00,
999469.00,2500.00,1.07,47.93,30.35,60.87,-188.75,1.10,49.25,30.81,61.61,-199.93,5875.17,5806.33,2.00,60.00,402.00,1672.00,
999586.00,2750.00,1.10,48.02,30.41,60.88,-199.92,1.10,50.00,30.88,61.95,-199.92,6104.46,5969.50,2.00,60.00,324.00,1568.00,
999757.00,3000.00,1.11,47.93,30.39,60.89,-199.92,1.13,50.37,30.82,62.35,-199.92,6261.16,6212.53,2.00,60.00,262.00,1469.00,
999872.00,3250.00,1.15,47.98,30.40,60.91,-199.92,1.13,50.42,30.93,62.73,-199.92,6370.37,6220.79,2.00,60.00,281.00,1299.00,
999988.00,3500.00,1.11,47.98,30.45,60.98,-199.92,1.14,50.76,30.71,63.10,-199.92,6297.69,6206.39,2.00,60.00,224.00,1372.00,
1000103.00,3750.00,1.12,47.95,30.42,60.98,-199.92,1.10,44.08,24.84,51.63,-169.32,6082.26,5829.28,2.00,60.00,133.00,1132.00,
