time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, exhaust_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, exhaust_temp2, tinj_1, tinj_2, sweep, temp, datapoints1, datapoints2
749.00,1500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7000.00,7000.00,0.00,60.00,0.00,0.00,
866.00,1750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7000.00,7000.00,0.00,60.00,0.00,0.00,
983.00,2000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6000.00,6000.00,0.00,60.00,0.00,0.00,
1100.00,2250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5500.00,5500.00,0.00,60.00,0.00,0.00,
1271.00,2500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5300.00,5300.00,0.00,60.00,0.00,0.00,
1391.00,2750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5300.00,5300.00,0.00,60.00,0.00,0.00,
1510.00,3000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5300.00,5300.00,0.00,60.00,0.00,0.00,
1631.00,3250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5300.00,5300.00,0.00,60.00,0.00,0.00,
1752.00,3500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5300.00,5300.00,0.00,60.00,0.00,0.00,
1872.00,3750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5300.00,5300.00,0.00,60.00,0.00,0.00,
281775.00,1500.00,1.01,47.89,29.66,58.88,-93.54,1.51,0.18,0.11,0.23,15.22,7000.00,7000.00,1.00,60.00,1505.00,135.00,
281927.00,1750.00,1.18,47.87,29.68,58.88,-74.97,1.51,0.18,0.11,0.23,15.22,7176.54,7000.00,1.00,60.00,2550.00,133.00,
282047.00,2000.00,0.98,47.86,29.89,58.79,-143.95,1.31,0.16,0.11,0.20,13.39,6000.00,6311.90,1.00,60.00,549.00,2057.00,
282167.00,2250.00,1.05,0.07,7.81,0.09,5.85,1.19,0.19,0.11,0.20,15.22,5500.00,5693.55,1.00,60.00,399.00,2139.00,
282287.00,2500.00,1.14,0.18,0.12,0.23,15.30,1.21,0.19,0.11,0.23,15.22,5439.42,5512.12,1.00,60.00,497.00,1629.00,
282409.00,2750.00,1.22,0.18,0.12,0.23,15.23,1.23,0.19,0.11,0.23,15.22,5523.76,5533.10,1.00,60.00,366.00,1615.00,
282531.00,3000.00,1.28,0.18,0.11,0.23,15.22,1.26,0.19,0.10,0.23,15.22,5578.23,5558.64,1.00,60.00,299.00,1477.00,
282653.00,3250.00,1.31,0.18,0.11,0.23,15.22,1.25,0.19,0.10,0.23,15.22,5606.56,5551.85,1.00,60.00,317.00,1410.00,
282773.00,3500.00,1.31,0.18,0.11,0.23,15.22,1.23,0.19,0.10,0.23,15.22,5607.12,5531.90,1.00,60.00,326.00,1376.00,
282893.00,3750.00,1.30,0.18,0.11,0.23,15.22,1.16,0.19,0.10,0.23,15.22,5602.75,5456.26,1.00,60.00,165.00,1194.00,
