time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, exhaust_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, exhaust_temp2, tinj_1, tinj_2, sweep, temp, datapoints1, datapoints2
749,1500,0,0,0,0,0,0,0,0,0,0,7000,7000,0,60,0,0
870,1750,0,0,0,0,0,0,0,0,0,0,7176.54,7000,0,60,0,0
991,2000,0,0,0,0,0,0,0,0,0,0,6000,6311.9,0,60,0,0
1112,2250,0,0,0,0,0,0,0,0,0,0,5500,5693.55,0,60,0,0
1232,2500,0,0,0,0,0,0,0,0,0,0,5439.42,5512.12,0,60,0,0
1353,2750,0,0,0,0,0,0,0,0,0,0,5523.76,5533.1,0,60,0,0
1474,3000,0,0,0,0,0,0,0,0,0,0,5578.23,5558.64,0,60,0,0
1593,3250,0,0,0,0,0,0,0,0,0,0,5606.56,5551.85,0,60,0,0
1714,3500,0,0,0,0,0,0,0,0,0,0,5607.12,5531.9,0,60,0,0
1835,3750,0,0,0,0,0,0,0,0,0,0,5602.75,5456.26,0,60,0,0
67117,1500,0.95,48.41,29.33,63.18,-111.35,1.51,48.44,28.94,62.97,-199.92,7000,7000,1,60,2127,139
67233,1750,1.13,48.37,29.35,63.16,-97.24,1.44,48.48,28.96,62.98,-199.92,7432.92,7000,1,60,1885,115
67347,2000,0.98,48.37,29.31,63.04,-166.97,1.24,48.88,28.66,63.04,-199.93,6000,6783.01,1,60,607,2351
67463,2250,1.1,48.38,29.27,63.07,-188.89,1.16,49.57,28.23,63.16,-199.93,5706.19,6006.36,1,60,445,2026
67579,2500,1.16,48.4,29.42,63.04,-199.49,1.18,49.99,28.42,63.4,-199.93,5749.74,5869.55,1,60,405,1717
67695,2750,1.21,48.42,29.43,63.02,-199.92,1.19,50.33,28.78,63.64,-199.92,5934.57,5918.64,1,60,370,1600
67812,3000,1.26,48.43,29.29,63.02,-199.92,1.23,50.57,29,64.02,-199.92,6090.95,6010.3,1,60,413,1366
67929,3250,1.27,48.39,29.17,62.96,-199.92,1.22,51.18,29.25,64.34,-199.92,6139.72,5987.56,1,60,242,1402
68047,3500,1.25,48.45,29.11,63.01,-199.92,1.21,51.26,29.37,64.79,-199.92,6105.4,5960.1,1,60,259,1407
68207,3750,1.25,48.46,29.08,63.01,-199.92,1.14,51.58,29.77,65.19,-199.92,6095.44,5726.62,1,60,147,1073
331276,1500,0.92,48.5,28.6,60.88,-100.81,1.51,48.65,28.74,60.88,-199.92,7000,7000,2,60,1848,138
331392,1750,1.12,48.49,28.73,60.91,-79.84,1.3,48.65,28.69,60.82,-199.92,7666.95,7000,2,60,2091,238
331508,2000,0.95,48.51,28.98,60.82,-149.36,1.1,48.87,28.39,60.92,-199.93,6000,6783.01,2,60,665,2514
