OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C),Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle
792.00,1970-00-00 00:00:00.792,0.00,0.00,0.00,0.25,0.00,0.00,1.00,0.00,0.00,12.58,0.00,0.00,0.00,-0.57,0.04,17.00,10.00,0.00
892.00,1970-00-00 00:00:00.892,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.48,0.00,0.00,0.00,-0.58,0.04,17.00,10.00,0.00
992.00,1970-00-00 00:00:00.992,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.58,0.00,0.00,0.00,-0.57,0.04,17.00,10.00,0.00
1092.00,1970-01-01 00:00:01.092,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.58,50.43,55.68,0.00,-0.58,0.05,17.00,10.00,0.00
1192.00,1970-01-01 00:00:01.192,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.58,50.43,55.68,0.00,-0.58,0.05,17.00,10.00,0.00
1292.00,1970-01-01 00:00:01.292,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.58,50.43,55.68,0.00,-0.58,0.05,17.00,10.00,0.00
1392.00,1970-01-01 00:00:01.392,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.57,50.50,55.70,0.00,-0.58,0.05,17.00,10.00,0.00
1492.00,1970-01-01 00:00:01.492,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.58,50.50,55.70,0.00,-0.59,0.05,17.00,10.00,0.00
1592.00,1970-01-01 00:00:01.592,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.58,50.50,55.79,0.00,-0.58,0.04,17.00,10.00,0.00
1692.00,1970-01-01 00:00:01.692,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.58,50.50,55.79,0.00,-0.58,0.04,17.00,10.00,0.00
1792.00,1970-01-01 00:00:01.792,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.58,50.50,55.79,0.00,-0.58,0.04,17.00,10.00,0.00
1892.00,1970-01-01 00:00:01.892,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.57,50.52,55.77,0.00,-0.57,0.04,17.00,10.00,0.00
1992.00,1970-01-01 00:00:01.992,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.57,50.52,55.77,0.00,-0.57,0.05,17.00,10.00,0.00
2092.00,1970-01-01 00:00:02.092,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.57,50.56,55.72,0.00,-0.58,0.05,17.00,10.00,0.00
2192.00,1970-01-01 00:00:02.192,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.57,50.56,55.72,0.00,-0.58,0.05,17.00,10.00,0.00
2292.00,1970-01-01 00:00:02.292,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.57,50.56,55.72,0.00,-0.58,0.04,17.00,10.00,0.00
2392.00,1970-01-01 00:00:02.392,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.55,50.55,55.82,0.00,-0.58,0.04,17.00,10.00,0.00
2492.00,1970-01-01 00:00:02.492,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.56,50.55,55.82,0.00,-0.52,0.04,17.00,10.00,0.00
2592.00,1970-01-01 00:00:02.592,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.52,50.55,55.82,0.00,-0.58,0.04,17.00,10.00,0.00
2692.00,1970-01-01 00:00:02.692,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.55,50.54,55.77,0.00,-0.58,0.05,17.00,10.00,0.00
2792.00,1970-01-01 00:00:02.792,0.00,0.00,0.00,0.26,0.00,1.00,1.00,0.00,0.00,12.53,50.54,55.77,0.00,-0.61,0.03,17.00,10.00,0.00
2892.00,1970-01-01 00:00:02.892,0.00,0.00,0.00,0.35,0.00,1.00,1.00,0.00,0.00,12.53,50.54,55.77,0.00,-0.57,0.04,17.00,10.00,0.00
2992.00,1970-01-01 00:00:02.992,0.00,0.00,0.00,0.34,0.00,1.00,1.00,0.00,0.00,12.52,50.54,55.77,0.00,-0.53,0.04,17.00,10.00,0.00
3092.00,1970-01-01 00:00:03.092,0.00,0.00,0.00,0.35,0.00,1.00,1.00,0.00,0.00,12.47,50.54,55.77,0.00,-0.59,0.05,17.00,10.00,0.00
3192.00,1970-01-01 00:00:03.192,0.00,0.00,0.00,0.27,0.00,1.00,1.00,0.00,0.00,12.52,50.50,55.77,0.00,-0.56,0.05,17.00,10.00,0.00
3292.00,1970-01-01 00:00:03.292,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.51,50.50,55.77,0.00,-0.64,0.05,17.00,10.00,0.00
3392.00,1970-01-01 00:00:03.392,0.00,0.00,0.00,0.26,0.00,1.00,1.00,0.00,0.00,12.48,50.57,55.74,0.00,-0.59,0.04,17.00,10.00,0.00
3492.00,1970-01-01 00:00:03.492,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.46,50.57,55.74,0.00,-0.55,0.04,17.00,10.00,0.00
3592.00,1970-01-01 00:00:03.592,0.00,0.00,0.00,0.30,0.00,1.00,1.00,0.00,0.00,12.38,50.57,55.74,0.00,-0.63,0.04,17.00,10.00,0.00
3692.00,1970-01-01 00:00:03.692,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.49,50.59,55.77,0.00,-0.53,0.04,17.00,10.00,0.00
3792.00,1970-01-01 00:00:03.792,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.48,50.59,55.77,0.00,-0.58,0.04,17.00,10.00,0.00
3892.00,1970-01-01 00:00:03.892,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.45,50.59,55.77,0.00,-0.59,0.04,17.00,10.00,0.00
3992.00,1970-01-01 00:00:03.992,0.00,0.00,0.00,0.26,0.00,1.00,1.00,0.00,0.00,12.42,50.68,55.75,0.00,-0.58,0.04,17.00,10.00,0.00
4092.00,1970-01-01 00:00:04.092,0.00,0.00,0.00,0.33,0.00,1.00,1.00,0.00,0.00,12.39,50.68,55.75,0.00,-0.60,0.04,17.00,10.00,0.00
4192.00,1970-01-01 00:00:04.192,0.00,0.00,0.00,0.33,0.00,1.00,1.00,0.00,0.00,12.47,50.56,55.80,0.00,-0.54,0.04,17.00,10.00,0.00
4292.00,1970-01-01 00:00:04.292,0.00,0.00,0.00,0.33,0.00,1.00,1.00,0.00,0.00,12.48,50.56,55.80,0.00,-0.57,0.04,17.00,10.00,0.00
4392.00,1970-01-01 00:00:04.392,0.00,0.00,0.00,0.33,0.00,1.00,1.00,0.00,0.00,12.46,50.56,55.80,0.00,-0.58,0.05,17.00,10.00,0.00
4492.00,1970-01-01 00:00:04.492,0.00,0.00,0.00,0.33,0.00,1.00,1.00,0.00,0.00,12.40,50.60,55.74,0.00,-0.57,0.05,17.00,10.00,0.00
4592.00,1970-01-01 00:00:04.592,0.00,0.00,0.00,0.33,0.00,1.00,1.00,0.00,0.00,12.41,50.60,55.74,0.00,-0.61,0.05,17.00,10.00,0.00
4692.00,1970-01-01 00:00:04.692,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.43,50.57,55.74,0.00,-0.56,0.04,17.00,10.00,0.00
4792.00,1970-01-01 00:00:04.792,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.46,50.57,55.74,0.00,-0.62,0.04,17.00,10.00,0.00
