time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, exhaust_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, exhaust_temp2, t_inj_1, t_inj_2, sweep, datapoints1, datapoints2
841,1500,0,0,0,0,0,0,0,0,0,0,6517.98,8025.6,0,0,0
965,1750,0,0,0,0,0,0,0,0,0,0,6296.11,7282,0,0,0
1090,2000,0,0,0,0,0,0,0,0,0,0,6072.27,7033.59,0,0,0
1215,2250,0,0,0,0,0,0,0,0,0,0,5992.78,5694.05,0,0,0
1332,2500,0,0,0,0,0,0,0,0,0,0,6050.38,5714.76,0,0,0
1446,2750,0,0,0,0,0,0,0,0,0,0,5823.03,5677.04,0,0,0
1560,3000,0,0,0,0,0,0,0,0,0,0,6411.19,5816.78,0,0,0
1674,3250,0,0,0,0,0,0,0,0,0,0,6019.78,5827.79,0,0,0
1788,3500,0,0,0,0,0,0,0,0,0,0,6110.89,5751.43,0,0,0
1902,3750,0,0,0,0,0,0,0,0,0,0,6169.7,5802.56,0,0,0
2015,4000,0,0,0,0,0,0,0,0,0,0,5866.47,5913.87,0,0,0
174746,1500,0,0,0,0,0,190.61,6596.91,5688.95,8377.73,-25190.16,6517.98,8025.6,1,0,126
174861,1750,4043.12,182054.41,155614.22,231876.78,-313368.38,0,0,0,0,0,6296.11,7282,1,3482,0
174975,2000,774.43,38813.77,33279.65,49425.15,-118484.16,1349.66,59534.44,51033.11,75437.01,-226911.33,6072.27,7033.59,1,741,1135
175090,2250,545.46,26695.63,22984.57,34010.9,-93604.49,2339.94,117825.09,99640.57,148028.47,-445040.38,5992.78,5694.05,1,510,2226
175205,2500,437.16,21610.46,18594.42,27501.75,-82377.73,1957.2,93730.16,78072.08,117057.09,-350469.94,6050.38,5714.76,1,413,1753
175321,2750,446.68,21790.01,18781.2,27778.34,-83367.42,1932.95,93845.85,76919.36,116840.34,-347670.81,5823.03,5677.04,1,417,1739
175436,3000,389.98,18490.83,15963.52,23549.53,-70772.34,1571.14,76956.94,62307.38,95951.55,-283690.81,6411.19,5816.78,1,354,1419
175607,3250,339.59,16311.38,14077.79,20772.42,-62375.63,1552.72,76150.91,60539.25,94724.19,-278292.5,6019.78,5827.79,1,312,1392
175716,3500,280.53,13327.73,11531.27,16984.2,-50980.08,1544.32,76308.91,59482.93,94902.03,-277292.81,6110.89,5751.43,1,255,1387
175825,3750,294.84,14221.38,12294.81,18104.59,-54378.75,1397.21,69867.87,53207.45,86524.96,-251701.64,6169.7,5802.56,1,272,1259
175936,4000,0,0,0,0,0,558.38,28367.75,21030.5,34640.53,-100360.78,5866.47,5913.87,1,0,502
207851,1500,0,0,0,0,0,108.92,4176,2925.56,5364,-14394.38,6517.98,8025.6,2,0,72
