time_ms, RPM, lambda_1, oil_temp1, air_temp1, water_temp1, exhaust_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, exhaust_temp2, tinj_1, tinj_2, sweep, temp, datapoints1, datapoints2
806,1500,0,0,0,0,0,0,0,0,0,0,6272.03,7000,0,60,0,0
921,1750,0,0,0,0,0,0,0,0,0,0,8034.56,7000,0,60,0,0
1038,2000,0,0,0,0,0,0,0,0,0,0,5814.71,7850.13,0,60,0,0
1154,2250,0,0,0,0,0,0,0,0,0,0,5750.17,6106.88,0,60,0,0
1271,2500,0,0,0,0,0,0,0,0,0,0,6038.93,5922.7,0,60,0,0
1466,2750,0,0,0,0,0,0,0,0,0,0,6753.76,6112.49,0,60,0,0
1581,3000,0,0,0,0,0,0,0,0,0,0,6590.03,6254.35,0,60,0,0
1696,3250,0,0,0,0,0,0,0,0,0,0,6449.98,6191.31,0,60,0,0
1812,3500,0,0,0,0,0,0,0,0,0,0,6337.83,6564.4,0,60,0,0
1927,3750,0,0,0,0,0,0,0,0,0,0,6314.64,5931.77,0,60,0,0
223809,1500,0.88,47.23,29.82,61.06,-122.83,1.51,47.27,29.01,61,-199.92,6024.64,7000,1,60,1989,64
223926,1750,1.1,47.22,29.82,61.1,-102.06,1.5,47.3,29.06,61,-199.92,8231.16,7000,1,60,2075,110
224163,2000,0.94,47.23,29.29,61.02,-181.89,1.2,47.35,29.15,60.99,-199.92,5693.55,8245.66,1,60,604,1598
224490,2250,1.03,47.19,29.32,60.98,-198.47,1.03,47.62,29.27,61.12,-199.93,5818.41,6161.35,1,60,493,2084
224712,2500,1.04,47.19,29.28,60.97,-199.92,1.02,48.03,29.08,61.37,-199.93,6121.49,5969.64,1,60,489,1765
225040,2750,1.01,47.29,29.27,61,-199.92,1,48.44,28.53,61.71,-199.92,6783.36,6114.2,1,60,322,1566
225286,3000,1,47.25,29.19,60.98,-199.92,0.99,48.82,28.08,62.02,-199.92,6586.54,6240.37,1,60,303,1370
225400,3250,1,47.27,29.17,60.93,-199.92,0.96,49,27.87,62.39,-199.92,6458.98,6115.68,1,60,353,1404
225515,3500,1,47.26,29.22,60.95,-199.92,0.96,49.32,27.43,62.78,-199.92,6340.83,6477.72,1,60,360,1441
225630,3750,1.01,47.33,29.23,61.05,-199.92,1.02,50.48,26.9,63.22,-199.92,6334.87,5967.24,1,60,140,1283
487413,1500,0.94,47.6,29.78,60.94,-107.26,1.51,47.65,29.03,60.9,-199.92,5900.5,7000,2,60,2471,140
487527,1750,1.05,47.64,29.68,60.93,-113.09,1.51,47.65,29.02,60.9,-199.92,8333.79,7000,2,60,1614,54
487724,2000,0.91,47.66,29.31,60.87,-176.95,1.17,47.73,29.12,60.89,-199.92,5506.87,8593.01,2,60,553,1555
487839,2250,1.02,47.66,29.13,60.88,-195.92,1.01,48.05,29.15,61.09,-199.93,5858.59,6187.12,2,60,498,2136
487954,2500,1.03,47.62,29.05,60.86,-199.92,1.02,48.38,29.16,61.36,-199.93,6188.69,6002.3,2,60,493,1809
488070,2750,1.02,47.62,29.1,60.81,-199.92,1,49.02,29.22,61.65,-199.92,6815.49,6122.6,2,60,402,1523
488185,3000,1,47.66,29.07,60.78,-199.92,1,49.45,29.38,61.96,-199.92,6580.61,6240.22,2,60,260,1442
488301,3250,1,47.66,29.02,60.85,-199.92,0.97,49.67,29.44,62.32,-199.92,6465.81,6050.92,2,60,319,1333
488418,3500,1,47.68,28.98,60.84,-199.92,0.96,49.95,29.34,62.65,-199.92,6334.59,6405.95,2,60,326,1312
488535,3750,1.02,47.65,28.89,60.95,-199.92,1.02,51.29,29.04,63.03,-199.92,6365.76,6015.3,2,60,182,1227
727045,1500,0.91,47.56,26.75,60.98,-107.78,1.51,47.65,27.36,60.89,-199.92,5714.65,7000,3,60,2188,61
727206,1750,1.07,47.55,26.83,60.96,-101.54,1.35,47.7,27.35,60.91,-199.92,8476.25,7000,3,60,1694,361
727321,2000,0.91,47.58,27.21,60.88,-167.81,0.91,47.78,27.27,61.03,-199.93,5327.26,8404.8,3,60,562,2464
