OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C), Air Temperature (C), Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle, burning
792.00,1970-00-00 00:00:00.792,0.00,0.00,0.00,0.80,0.00,0.00,1.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,-0.62,-0.09,17.00,10.00,0.00,0.00
898.00,1970-00-00 00:00:00.898,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,-0.63,-0.09,17.00,10.00,0.00,0.00
998.00,1970-00-00 00:00:00.998,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,-0.62,-0.03,17.00,10.00,0.00,0.00
1098.00,1970-01-01 00:00:01.098,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.00,44.89,52.68,-66.57,24.31,-0.62,-0.03,17.00,10.00,0.00,0.00
1198.00,1970-01-01 00:00:01.198,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.00,44.89,52.68,-66.57,24.31,-0.63,-0.03,17.00,10.00,0.00,0.00
1298.00,1970-01-01 00:00:01.298,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.00,44.89,52.68,-66.57,24.31,-0.62,-0.04,17.00,10.00,0.00,0.00
1398.00,1970-01-01 00:00:01.398,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.99,44.90,52.66,-66.39,24.31,-0.62,-0.04,17.00,10.00,0.00,0.00
1537.00,1970-01-01 00:00:01.537,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.00,44.90,52.66,-66.39,24.38,-0.63,-0.04,17.00,10.00,0.00,0.00
1671.00,1970-01-01 00:00:01.671,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.00,44.98,52.74,-66.26,24.38,-0.65,-0.04,17.00,10.00,0.00,0.00
1796.00,1970-01-01 00:00:01.796,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.00,44.98,52.74,-66.26,24.38,-0.62,-0.03,17.00,10.00,0.00,0.00
